id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
10,962.95,Yes,New,USD,USA,Panasonic,"Digital Cameras,Used:Digital Photography,Mirrorless System Cameras,All Cameras,Electronics,All Mirrorless Cameras,Camera & Photo,Interchangeable Lens Cameras,Cameras & Camcorders,Photography,Mirrorless System Cameras bubcccruayaywadxvuuf,Used:Mirrorless System Cameras,Mirrorless System Cameras xeeasdybvsfvcywdzy,Mirrorless Cameras","camera, mirrorless",Electronics,Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm Lens and Accessory Kit (Black),6.64058688,6.871,panasonic,563.644,471.42904498258355,6.1578
11,1098.99,Yes,New,USD,USA,Canon,"Electronics,Cameras & Camcorders,All Cameras,Photography,Digital Cameras,DSLR Cameras,Digital SLRs,camera,Digital SLR Cameras,DSLR Body & Lens,Used:Digital Photography,Used:SLR Digital Cameras,Cameras & Photo","camera, mirrorless",Electronics,Canon Black EOS Rebel T5i Digital SLR Camera with 18 Megapixels and 18-135mm Lens Included,3.14339256,7.003,canon,563.644,471.42904498258355,6.1578
12,30.83,Yes,New,USD,USA,Fujifilm,"Instant Film,Instant Cameras,Cameras & Photo,Digital Camera Accessories,Film,Electronics,Film Cameras,Cameras & Camcorders,Photography,Accessories,Photography edzuruvw,Instant Print Accessories,Instant Film Cameras,See more Fujifilm 600012976 Instax Mini Rainbow Film (1...,Film Photography","camera, mirrorless",Electronics,instax mini Rainbow Instant Film (10 Exposures),0.041,3.4604,fujifilm,563.644,471.42904498258355,6.1578
13,10.5,Yes,New,USD,USA,Fujifilm,"Instant Film,Instant Cameras,Cameras & Photo,Digital Camera Accessories,Film,Electronics,Film Cameras,Cameras & Camcorders,Photography,Accessories,Photography edzuruvw,Instant Print Accessories,Instant Film Cameras,See more Fujifilm 600012976 Instax Mini Rainbow Film (1...,Film Photography","camera, mirrorless",Electronics,instax mini Rainbow Instant Film (10 Exposures),0.041,2.4424,fujifilm,563.644,471.42904498258355,6.1578
14,65.0,Yes,New,USD,USA,Fujifilm,"Instant Cameras,Digital Cameras,Cameras & Photo,All Cameras,Electronics,See more Fujifilm Instax Mini 8 Instant Film Camera,Computers Features,12 - 14 Years,Film Cameras,Cameras & Camcorders,Children's Cameras,Photography,Point & Shoot Cameras,Camera & Photo Features,Instant Film Cameras,Age,Film Photography","camera, shoot, point",Electronics,instax mini 8 Instant Film Camera and Groovy Case Kit (Raspberry),4.8987936,4.1896,fujifilm,365.053,344.3594184884079,5.8445
15,1018.99,Yes,New,USD,USA,Canon,"Photography,Digital Cameras,Point & Shoot Cameras,Cameras & Photo,All Point & Shoot Cameras,All Cameras,Point Shoot Cameras,Electronics,Camera & Photo,Point & Shoot Digital Cameras,Cameras & Camcorders","camera, shoot, point",Electronics,PowerShot G5 X Digital Camera Free Accessory Kit,6.0327736000000005,6.9275,canon,365.053,344.3594184884079,5.8445
16,338.95,Yes,New,USD,USA,Nikon,"Nikon Cameras,Digital Cameras,Cameras & Photo,Used:Digital Photography,Shop Cameras by Brand,Electronics,Electronics Deals,Photography fxyybzbtrcbsrztvff,Camera & Photo,Used:Point Shoot Digital Cameras,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Point Shoot Cameras,Point-And-Shoot Cameras","camera, shoot, point",Electronics,Nikon - COOLPIX B700 20.2-Megapixel Digital Camera - Black,0.56699,5.8288,nikon,365.053,344.3594184884079,5.8445
17,734.5,Yes,New,USD,USA,Canon,"Digital Cameras,Cameras & Photo,All Point & Shoot Cameras,Canon Cameras,All Cameras,Shop Cameras by Brand,Electronics,Camera & Photo,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Canon PowerShot G7X II,Point & Shoot Cameras,Body Only,DSLR,Point Shoot Cameras,Cameras","camera, shoot, point",Electronics,PowerShot G7 X Mark II Digital Camera with Free Accessory Kit,5.121053679999999,6.6005,canon,365.053,344.3594184884079,5.8445
18,17.0,No,Used,USD,USA,Fujifilm,"Instant Cameras,Digital Cameras,Cameras & Photo,All Cameras,Electronics,See more Fujifilm Instax Mini 8 Instant Film Camera,Computers Features,12 - 14 Years,Film Cameras,Cameras & Camcorders,Children's Cameras,Photography,Point & Shoot Cameras,Camera & Photo Features,Instant Film Cameras,Age,Film Photography","camera, shoot, point",Electronics,instax mini 8 Instant Film Camera and Groovy Case Kit (Raspberry),4.8987936,2.8904,fujifilm,365.053,344.3594184884079,5.8445
19,19.22,Yes,New,USD,USA,Joby,"Cameras, Camcorders & Optics,Camera Accessories,Cameras & Photo,Digital Camera Accessories,Frys,Electronics,Tripods Support,Tripods & Monopods,Complete Tripods,Tripods,Tabletop Mini Tripods,Mobile,Cameras & Camcorders,Photography,Straps & Mounts,See more Joby Gorillapod Original Charcoal Black Tripod...,Tripod Legs,Tripods & Supports,Mobile Photo Video Accessories,Grips Support","camera, shoot, point",Electronics,GripTight Gorillapod Stand with Charge Case for iPhone 6/6s (Black/Charcoal),0.0453592,3.0067,joby,365.053,344.3594184884079,5.8445
20,49.99,Yes,New,USD,USA,Joby,"Camera Accessories,Cameras & Photo,Electronics Features,Digital Camera Accessories,Tripods Support,Electronics,Tripods & Monopods,Tripods,Accessory Bundles,Camera & Photo,Tabletop Mini Tripods,See more Joby GorillaPod SLR-Zoom Tripod,Cameras & Camcorders,Photography,Tripods xeeasdybvsfvcywdzy,Tripod Legs,Tripods & Supports","camera, shoot, point",Electronics,JOBY GorillaPod SLR Zoom. Flexible Tripod with Ballhead Bundle for DSLR and Mirrorless Cameras Up To 3kg. (6.6lbs).,6.3956472,3.9316,joby,365.053,344.3594184884079,5.8445
21,436.94,Yes,New,USD,USA,Olympus,"Digital Cameras,Cameras & Photo,All Point & Shoot Cameras,Electronics,Point Shoot Cameras suybxafwtcyzbfsf,Camera & Photo,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Body Only,Waterproof Cameras,DSLR,Point Shoot Cameras,Cameras","camera, shoot, point",Electronics,Olympus TG-5 Waterproof Camera with 3-Inch LCD,0.2494756,6.082,olympus,365.053,344.3594184884079,5.8445
22,899.99,Yes,New,USD,USA,Sony,"Cameras, Camcorders & Optics,Digital Cameras,Cameras & Photo,Used:Digital Photography,All Point & Shoot Cameras,Shop Cameras by Brand,Frys,Electronics,Camera & Photo,Point,Shoot Cameras,Used:Point Shoot Digital Cameras,Point & Shoot Digital Cameras,Cameras & Camcorders,Photography,Point & Shoot Cameras,Sony Cameras,Camcorders,Point Shoot Cameras,Cameras","camera, shoot, point",Electronics,Cyber-shot DSC-RX100 V Digital Camera,4.7853956,6.8034,sony,365.053,344.3594184884079,5.8445
23,69.95,Yes,New,USD,USA,Fujifilm,"Instant Cameras,Digital Cameras,Cameras & Photo,All Cameras,Electronics,See more Fujifilm Instax Mini 8 Instant Film Camera,Computers Features,12 - 14 Years,Film Cameras,Cameras & Camcorders,Children's Cameras,Photography,Point & Shoot Cameras,Camera & Photo Features,Instant Film Cameras,Age,Film Photography","camera, shoot, point",Electronics,instax mini 8 Instant Film Camera and Groovy Case Kit (Raspberry),4.8987936,4.2619,fujifilm,365.053,344.3594184884079,5.8445
24,147.73,Yes,New,USD,USA,Magellan,"Electronics,GPS & Navigation,Vehicle GPS,Auto GPS Units,Consumer Electronics,Vehicle Electronics & GPS,GPS Units,Car Electronics & GPS,GPS Navigation & Accessories,Portable GPS,Handheld GPS Units","car, gps, dash",Electronics,"Magellan Roadmate 5322-LM 5 Touchscreen Portable GPS Navigation System""",5.0802304,5.0021,magellan,145.9241,159.4858459421957,5.0782
25,95.0,Yes,New,USD,USA,Kenwood,"Auto & Tires,Auto Electronics,Car Receivers,Digital Media and CD Player Receivers,Electronics,Car & Vehicle Electronics,Car Electronics,Car Electronics & GPS,Car Audio,Car Stereo Receivers,CD Players,Consumer Electronics,Vehicle Electronics & GPS,Car Audio In-Dash Units,eBay Motors,Parts & Accessories,Audio In-Dash Units,Frys,Car Stereo,CD Players & Digital Media Receivers","car, gps, dash",Electronics,Kenwood - In-Dash CD/DM Receiver - Built-in Bluetooth - Satellite Radio-ready with Detachable Faceplate - Black,1.587572,4.5643,kenwood,145.9241,159.4858459421957,5.0782
26,126.08,Yes,New,USD,USA,Pyle,"Car Video,Car Stereos,In-Dash Audio Players,Portable Audio & Video,Electronics,Car Electronics,All In-Dash Stereos,Car Audio,Auto & Tires,Car & Vehicle Electronics,Auto Electronics,Car Stereo Receivers,In-Dash DVD Receivers,MP3 & MP4 Player Accessories,Car Receivers,FM Transmitters,Car Electronics & GPS,All Car Stereo Receivers,In-Dash DVD & Video Receivers,Bluetooth & FM Transmitters","car, gps, dash",Electronics,Single DIN Head Unit Receiver - In-Dash Car Stereo with 7” Multi-Color Touchscreen Display - Audio Video System with Bluetooth for Wireless Music Streaming & Hands-free Calling - Pyle PLTS78DUB,2.8122704,4.8448,pyle,145.9241,159.4858459421957,5.0782
27,129.99,Yes,New,USD,USA,Garmin,"GPS Units,Back-Up Cameras,Electronics,Back-Up & Dash Cameras,Car Electronics,Vehicle Backup Cameras,Dash Cams,Car & Vehicle Electronics,Car Safety & Security,Car Safety & Car Security,Rear View Monitors/Cams & Kits,Vehicle Cameras GPS Tracking,Vehicle Electronics & GPS,See more Garmin BC 30 Wireless Backup Camera System Grm...,GPS Accessories,See more Garmin BC 30 Wireless Backup Camera,Car Video,Frys,GPS Accessories & Tracking,Auto Safety Accessories,GPS Devices Accessories,Other GPS Accs & Tracking,Consumer Electronics,Auto & Tires,Surveillance Cameras,Surveillance,Auto Electronics,Simulated Cameras,Cameras,Back-Up Cameras ywwwdubutyzyfqwzextu,Car Safety & Convenience,Car Electronics & GPS","car, gps, dash",Electronics,BC 30 Wireless Backup Camera with Car Adapter Power Cable,6.1688512,4.8751,garmin,145.9241,159.4858459421957,5.0782
28,549.95,Yes,New,USD,USA,Rand McNally,"Electronics,GPS & Navigation,Handheld GPS Units,Vehicle GPS,Electronics Features,GPS Accessories,Accessories,Car Electronics & GPS,GPS Navigation & Accessories,Portable GPS","car, gps, dash",Electronics,"Rand McNally 0528011715 IntelliRoute 7 TND 730 GPS Unit""",0.9979024,6.3116,rand mcnally,145.9241,159.4858459421957,5.0782
29,70.51,Yes,New,USD,USA,Pioneer,"Office,Office Technology,Phones & Accessories,Headsets & Accessories,Electronics,Computers,Computer Accessories,Computer Cables & Connectors,Consumer Electronics,Vehicle Electronics & GPS,Car Electronics Accessories,Adapters,Cell Phones,Accessories,Chargers,Car Electronics & GPS,Car Installation Parts & Accessories,Car Stereo Accessories","car, gps, dash",Electronics,Pioneer CD-AH200 Android Smartphone to HDMI Head Unit Connectivity Kit,0.453592,4.2698,pioneer,145.9241,159.4858459421957,5.0782
30,144.57,Yes,New,USD,USA,Garmin,"GPS Units,Back-Up Cameras,Electronics,Back-Up & Dash Cameras,Car Electronics,Vehicle Backup Cameras,Dash Cams,Car & Vehicle Electronics,Car Safety & Security,Car Safety & Car Security,Rear View Monitors/Cams & Kits,Vehicle Cameras GPS Tracking,Vehicle Electronics & GPS,See more Garmin BC 30 Wireless Backup Camera System Grm...,GPS Accessories,See more Garmin BC 30 Wireless Backup Camera,Car Video,Frys,GPS Accessories & Tracking,Auto Safety Accessories,GPS Devices Accessories,Other GPS Accs & Tracking,Consumer Electronics,Auto & Tires,Surveillance Cameras,Surveillance,Auto Electronics,Simulated Cameras,Cameras,Back-Up Cameras ywwwdubutyzyfqwzextu,Car Safety & Convenience,Car Electronics & GPS","car, gps, dash",Electronics,BC 30 Wireless Backup Camera with Car Adapter Power Cable,6.1688512,4.9806,garmin,145.9241,159.4858459421957,5.0782
31,109.0,Yes,New,USD,USA,Kenwood,"Auto & Tires,Auto Electronics,Car Receivers,Digital Media and CD Player Receivers,Electronics,Car & Vehicle Electronics,Car Electronics,Car Electronics & GPS,Car Audio,Car Stereo Receivers,CD Players,Consumer Electronics,Vehicle Electronics & GPS,Car Audio In-Dash Units,eBay Motors,Parts & Accessories,Audio In-Dash Units,Frys,Car Stereo,CD Players & Digital Media Receivers","car, gps, dash",Electronics,Kenwood - In-Dash CD/DM Receiver - Built-in Bluetooth - Satellite Radio-ready with Detachable Faceplate - Black,1.587572,4.7004,kenwood,145.9241,159.4858459421957,5.0782
32,249.99,Yes,New,USD,USA,Kenwood,"Parts & Accessories,Car Stereos,Electronics,Car Electronics,eBay Motors,In-Dash with DVD,Car & Vehicle Electronics,Car Stereo Receivers,Digital Media Receivers,Vehicle Electronics & GPS,Car Receivers,Video In-Dash Units w/o GPS,Car Video,In-Dash Audio Players,Frys,Car Audio In-Dash Units,Car Stereo,Car Audio,Consumer Electronics,Auto & Tires,Auto Electronics,Car Video Units W/out GPS/Nav,In-Dash with GPS,Digital Media and CD Player Receivers,Car Electronics & GPS,In-Dash DVD & Video Receivers","car, gps, dash",Electronics,"Details About Kenwood Ddx375bt Car Double Din 6.2 Touchscreen Usb Dvd Cd Bluetooth Stereo""",2.62176176,5.5254,kenwood,145.9241,159.4858459421957,5.0782
33,19.73,Yes,New,USD,USA,Pioneer,"Office,Office Technology,Phones & Accessories,Headsets & Accessories,Electronics,Computers,Computer Accessories,Computer Cables & Connectors,Consumer Electronics,Vehicle Electronics & GPS,Car Electronics Accessories,Adapters,Cell Phones,Accessories,Chargers,Car Electronics & GPS,Car Installation Parts & Accessories,Car Stereo Accessories","car, gps, dash",Electronics,Pioneer CD-AH200 Android Smartphone to HDMI Head Unit Connectivity Kit,0.453592,3.0316,pioneer,145.9241,159.4858459421957,5.0782
34,21.55,Yes,New,USD,USA,Pioneer,"Office,Office Technology,Phones & Accessories,Headsets & Accessories,Electronics,Computers,Computer Accessories,Computer Cables & Connectors,Consumer Electronics,Vehicle Electronics & GPS,Car Electronics Accessories,Adapters,Cell Phones,Accessories,Chargers,Car Electronics & GPS,Car Installation Parts & Accessories,Car Stereo Accessories","car, gps, dash",Electronics,Pioneer CD-AH200 Android Smartphone to HDMI Head Unit Connectivity Kit,0.453592,3.1157,pioneer,145.9241,159.4858459421957,5.0782
35,86.99,Yes,New,USD,USA,Magellan,"Electronics,GPS & Navigation,Vehicle GPS,Auto GPS Units,Consumer Electronics,Vehicle Electronics & GPS,GPS Units,Car Electronics & GPS,GPS Navigation & Accessories,Portable GPS,Handheld GPS Units","car, gps, dash",Electronics,"Magellan Roadmate 5322-LM 5 Touchscreen Portable GPS Navigation System""",5.0802304,4.4772,magellan,145.9241,159.4858459421957,5.0782
36,108.36,,New,USD,USA,Pioneer,"Stereos,Car Amplifiers,Parts & Accessories,Mono Amplifiers,Frys,Electronics,Car Electronics,Amplifiers,Home Audio & Theater,All Home Stereos,eBay Motors,Car Audio,Consumer Electronics,Mono Subwoofer Amps,Auto & Tires,Car & Vehicle Electronics,Auto Electronics,Receivers & Amplifiers,All Car Amplifiers,Home Audio,Vehicle Electronics & GPS,Audio,Car Electronics & GPS","car, speaker, subwoofer",Electronics,Pioneer GM-D8601 Class D Mono Amplifier with Wired Bass Boost Remote,2.721552,4.6946,pioneer,86.5642,120.85827368275308,4.8028
37,129.99,Yes,New,USD,USA,Alpine,"Electronics,Car & Vehicle Electronics,Car Electronics,Car Audio,Speakers,Coaxial Speakers,Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,All Car Speakers & Subwoofers,Car Electronics & GPS,Car Speakers,6.5\\ Car Speakers","car, speaker, subwoofer",Electronics,"Alpine SPR-60 6-1/2 Coaxial 2-Way Type-R Speaker Set""",2.494756,4.8751,alpine,86.5642,120.85827368275308,4.8028
38,118.35,Yes,New,USD,USA,Pioneer,"Stereos,Car Amplifiers,Parts & Accessories,Mono Amplifiers,Frys,Electronics,Car Electronics,Amplifiers,Home Audio & Theater,All Home Stereos,eBay Motors,Car Audio,Consumer Electronics,Mono Subwoofer Amps,Auto & Tires,Car & Vehicle Electronics,Auto Electronics,Receivers & Amplifiers,All Car Amplifiers,Home Audio,Vehicle Electronics & GPS,Audio,Car Electronics & GPS","car, speaker, subwoofer",Electronics,Pioneer GM-D8601 Class D Mono Amplifier with Wired Bass Boost Remote,2.721552,4.782,pioneer,86.5642,120.85827368275308,4.8028
39,71.99,Yes,New,USD,USA,Pioneer,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,Coaxial Speakers,Car Audio,Car Speakers,All Car Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,4\\ x 6\\ Car Speakers,Electronics,Car Electronics,Speakers","car, speaker, subwoofer",Electronics,Pioneer 200W 4x6 Inch 3 Way 4 Ohms Coaxial Car Audio Speakers Pair | TS-A4676R,0.454,4.2903,pioneer,86.5642,120.85827368275308,4.8028
40,51.99,Yes,New,USD,USA,Alpine,"Parts & Accessories,Car Speakers,6.5\\ Car Speakers,Electronics,Car Electronics,Speakers,eBay Motors,Car Audio,Consumer Electronics,Auto & Tires,All Car Speakers & Subwoofers,Coaxial Speakers,Speakers & Speaker Systems,Car & Vehicle Electronics,Auto Electronics,Car Speakers & Speaker Systems,Car Speakers and Subwoofers,Vehicle Electronics & GPS,Car Electronics & GPS","car, speaker, subwoofer",Electronics,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",2.3586784,3.9701,alpine,86.5642,120.85827368275308,4.8028
41,78.28,Yes,New,USD,USA,Alpine,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,Mid Range Speakers,Car Speakers,All Car Speakers,Consumer Electronics,Vehicle Electronics & GPS,Car Audio,Car Speakers & Speaker Systems,See more Alpine SPS-610C 2-Way 6.5in. Car Speakers Syst...,Car Electronics & GPS,6.5\\ Car Speakers,car electronics,Electronics,Speakers,Coaxial Speakers","car, speaker, subwoofer",Electronics,"Alpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black""",2.5,4.3729,alpine,86.5642,120.85827368275308,4.8028
42,46.99,Yes,New,USD,USA,Pioneer,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,Coaxial Speakers,Car Audio,Car Speakers,All Car Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,4\\ x 6\\ Car Speakers,Electronics,Car Electronics,Speakers","car, speaker, subwoofer",Electronics,Pioneer 200W 4x6 Inch 3 Way 4 Ohms Coaxial Car Audio Speakers Pair | TS-A4676R,0.454,3.871,pioneer,86.5642,120.85827368275308,4.8028
43,49.99,Yes,New,USD,USA,Sandisk,"Camera & Photo Accessories,Camera Accessories,Cameras & Photo,Compact Flash,Computers & Accessories,Digital Camera Accessories,Computer Accessories & Peripherals,Electronics,CompactFlash Cards,Cameras & Camcorders,Memory Cards,Photography,Memory Cards Accessories,Memory Storage,Memory Cards zqbcrtzrdtxxzcff","card, memory, camera",Electronics,Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46),0.14514944,3.9316,sandisk,32.2675,101.79819441437212,4.6327
44,24.99,Yes,New,USD,USA,Leef,"Electronics,Cameras & Camcorders,Camera Accessories,Memory Card Readers,Cell Phones & Accessories,Cell Phone Accessories,Memory Card Readers & Adapters,See more Leef iAccess IOS Micro SD RDR LIACMWK000E1,Computers & Tablets,Computer Accessories & Peripherals,Hard Drives & Storage,Portable Digital Storage for Cell Phones,Computers & Accessories,Memory Card Accessories,Accessories,iPhone Accessories,Cell Phones","card, memory, camera",Electronics,Leef Liacmwk000e1 iAccess iOS microSD Card Reader,0.6350288,3.2577,leef,32.2675,101.79819441437212,4.6327
45,37.99,Yes,New,USD,USA,Sony,"Computers,Computers & Accessories,Computer Accessories,Digital Camera Accessories,Computer Accessories & Peripherals,Electronics,Secure Digital (SDXC),Memory Cards,Cameras & Camcorders,Photography,Memory Cards Accessories,Secure Digital (SD, SDHC, SDXC),SD & SDHC Cards,Computer Cables & Connectors","card, memory, camera",Electronics,Sony - SF-UY2 Series 64GB SDXC UHS-I Memory Card,0.1814368,3.6633,sony,32.2675,101.79819441437212,4.6327
46,16.1,Yes,New,USD,USA,SanDisk,"electronics,microSDHC,Computers & Accessories,Accessory Kits,Cell Phone Accessories,microSD (SDHC, SDXC),Cameras & Camcorders,Lights,Flash Memory Cards,Micro SDHC,Mobile Photo Video Accessories,Micro SD (SD, SDHC, SDXC),Camera Accessories,Digital Camera Accessories,Computer Accessories & Peripherals,Frys,Flash Cards,Mobile,PC Components,Memory Cards,Photography,Memory Cards teecytbyzsszrecu,Memory Cards Accessories,Mobile yfwfyzxddquyzucrcstvxverfabedd,Flash Memory,Data Storage Products,More Mobile Accessories","card, memory, camera",Electronics,SanDisk - Ultra 32GB microSDHC Class 10 Memory Card,0.1360776,2.8391,sandisk,32.2675,101.79819441437212,4.6327
47,169.99,Yes,New,USD,USA,Cooler Master,"Computers,Cases & Towers,Desktop Computer Cases auzcweqzzceaebdx,Computers & Accessories,Electronics,Computer Cases,Desktop Computer Cases fcqcczbsvuayatfcdcrewxbwerrfa,Computer Cards & Components,Desktop Computer Cases xwycbdtrcwywtcuyvacazbryeftcxscza,Computer Components,Computers & Tablets,Computer Cases xrawfrudeyyvfavzra,Desktop Computer Cases","case, computer",Electronics,Cooler Master - HAF X Ultimate Full-Tower Chassis - Black,14.3335072,5.1416,cooler master,92.125,129.3078558932775,4.8699
48,35.26,Yes,New,USD,USA,Apple,"Bags, Cases & Sleeves,Computers,Office,Computers & Accessories,Tablets,Electronics,Office Electronics,iPad & Tablets,Form Fitting Cases byafywzeezycvcwxeaaswvarzufbazaeew,Form Fitting Cases,Tablet Accessories,Tablet Computer Cases,Cases, Covers, Keyboard Folios,Computers & Tablets,iPad & Tablet Accessories,Used:Tablet Accessories,Cases, Covers & Keyboard Folios,Walmart for Business,Computer Accessories,Tablet Cases, Covers & Keyboard Folios,Used:Computer Accessories,Cases & Bags,Tablet & eBook Reader Accs,Computers/Tablets & Networking,Used:Computers Accessories,Form Fitting Cases dtcfasvwuxuwccuercftezcrdurveuvcs,All Tablets,Portfolio Cases,Cases","case, computer",Electronics,Apple - Smart Cover for Apple iPad and iPad® Air 2 - Charcoal Gray,3.175144,3.5907,apple,92.125,129.3078558932775,4.8699
49,129.99,Yes,New,USD,USA,Thule,"Computers,Portable Computer Accessories,Carrying Cases,Frys,Electronics,Tablet Computer Cases,Carrying Cases tyycfcfbufyyaesvzxcetqczfqbsfutfsb,MacBook Accessories,Accessories,Apple,Carrying Cases wzxzuqbqtwcxbdsvcdcvuvscwazaxfr,Laptop Accessories,Backpacks,Carrying Cases zvuaxcqascadqyqrr","case, computer",Electronics,Crossover 32L Daypack for 15 Laptop (Black),0.8618248,4.8751,thule,92.125,129.3078558932775,4.8699
